Date,Short_Ratio,Short_Count,Short_Amount
2020-03-27,15.43%,"4,434,500","1,703,755,640"
2020-03-26,21.55%,"6,317,600","2,410,982,980"
2020-03-25,15.69%,"5,683,300","2,144,701,100"
2020-03-24,13.71%,"5,018,400","1,826,227,400"
2020-03-23,10.85%,"4,199,400","1,477,625,820"
2020-03-20,12.37%,"6,467,300","2,321,388,800"
2020-03-19,14.97%,"8,943,800","3,042,859,140"
2020-03-18,12.51%,"5,553,200","1,910,363,920"
2020-03-17,15.77%,"6,648,900","2,313,380,540"
2020-03-16,13.14%,"6,531,200","2,266,771,720"
2020-03-13,13.24%,"7,599,600","2,693,632,140"
2020-03-12,20.09%,"7,642,800","2,787,357,040"
2020-03-11,15.47%,"3,163,400","1,205,880,460"
2020-03-10,17.82%,"5,685,600","2,182,127,980"
2020-03-09,14.02%,"5,064,700","1,928,639,360"
2020-03-06,12.90%,"3,919,500","1,556,784,220"
2020-03-05,29.24%,"7,908,600","3,176,556,160"
2020-03-04,30.56%,"5,976,200","2,349,036,340"
2020-03-03,26.82%,"5,848,500","2,316,669,020"
2020-03-02,23.81%,"5,497,000","2,147,845,720"
2020-02-28,17.81%,"5,682,800","2,204,536,720"
2020-02-27,17.15%,"3,288,800","1,305,412,260"
2020-02-26,14.72%,"2,698,200","1,077,187,180"
2020-02-25,24.93%,"6,004,000","2,390,926,600"
2020-02-24,13.76%,"3,191,000","1,251,364,360"
2020-02-21,14.73%,"2,570,100","1,037,968,700"
2020-02-20,9.95%,"1,649,800","676,144,200"
2020-02-19,14.80%,"1,850,500","761,383,600"
2020-02-18,12.13%,"1,581,300","649,698,900"
2020-02-17,13.84%,"1,478,100","616,715,300"
2020-02-14,9.30%,"1,291,400","538,658,220"
2020-02-13,18.52%,"3,307,900","1,373,483,980"
2020-02-12,18.08%,"3,200,900","1,317,092,640"
2020-02-11,14.79%,"3,428,900","1,401,950,440"
2020-02-10,13.99%,"2,303,500","920,535,520"
2020-02-07,16.25%,"2,421,300","966,758,920"
2020-02-06,15.05%,"2,677,500","1,065,363,640"
2020-02-05,15.35%,"3,437,900","1,355,135,180"
2020-02-04,16.71%,"4,752,400","1,853,377,000"
2020-02-03,18.54%,"5,316,600","2,014,743,020"
2020-01-31,13.68%,"2,777,100","1,051,674,400"
2020-01-30,21.74%,"5,422,400","2,060,750,360"
2020-01-29,17.08%,"5,425,000","2,093,588,860"
2020-01-24,11.11%,"894,500","345,108,000"
2020-01-23,18.62%,"3,467,300","1,334,691,140"
2020-01-22,18.06%,"3,374,600","1,316,169,680"
2020-01-21,9.45%,"2,284,500","884,089,960"
2020-01-20,12.64%,"1,679,200","669,491,980"
2020-01-17,6.45%,"881,400","350,958,200"
2020-01-16,9.77%,"1,345,600","537,099,220"
2020-01-15,9.58%,"1,527,000","608,375,660"
2020-01-14,11.85%,"3,178,800","1,286,643,580"
2020-01-13,14.15%,"3,900,700","1,574,424,280"
2020-01-10,18.55%,"4,692,600","1,860,835,960"
2020-01-09,11.69%,"1,863,600","724,756,540"
2020-01-08,13.50%,"2,097,000","802,379,640"
