Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Actual_High_Next_20_P,Predicted_High_Next_20_P,MAE_P,Type
2004-06-16,0.788,0.833,0.734,0.748,2198875000,0.0,0.0,9.6,,,Train / Val
2004-06-17,0.748,0.788,0.743,0.761,419007500,0.0,0.0,7.8,,,Train / Val
2004-06-18,0.757,0.766,0.712,0.725,182990000,0.0,0.0,13.1,,,Train / Val
2004-06-21,0.739,0.743,0.712,0.721,114085000,0.0,0.0,13.7,,,Train / Val
2004-06-23,0.73,0.802,0.725,0.797,275080000,0.0,0.0,2.9,,,Train / Val
2004-06-24,0.806,0.815,0.779,0.802,173615000,0.0,0.0,2.2,,,Train / Val
2004-06-25,0.806,0.82,0.784,0.793,106062500,0.0,0.0,1.1,,,Train / Val
2004-06-28,0.793,0.793,0.766,0.779,73730000,0.0,0.0,3.0,,,Train / Val
2004-06-29,0.775,0.797,0.775,0.779,75407500,0.0,0.0,3.0,,,Train / Val
2004-06-30,0.788,0.797,0.775,0.775,61085000,0.0,0.0,3.5,,,Train / Val
2004-07-02,0.77,0.788,0.752,0.784,65130000,0.0,0.0,2.3,,,Train / Val
2004-07-06,0.788,0.802,0.784,0.793,77145000,0.0,0.0,-0.6,,,Train / Val
2004-07-07,0.788,0.788,0.766,0.77,65675000,0.0,0.0,-0.5,,,Train / Val
2004-07-08,0.766,0.766,0.734,0.739,105745000,0.0,0.0,0.5,,,Train / Val
2004-07-09,0.739,0.743,0.725,0.734,46880000,0.0,0.0,1.2,,,Train / Val
2004-07-12,0.734,0.743,0.716,0.721,59850000,0.0,0.0,1.2,,,Train / Val
2004-07-13,0.721,0.73,0.716,0.725,54670000,0.0,0.0,0.7,,,Train / Val
2004-07-14,0.725,0.725,0.676,0.685,98190000,0.0,0.0,6.6,,,Train / Val
2004-07-15,0.689,0.689,0.64,0.662,56595000,0.0,0.0,10.3,,,Train / Val
2004-07-16,0.658,0.676,0.653,0.667,20632500,0.0,0.0,9.4,,,Train / Val
2004-07-19,0.667,0.68,0.649,0.68,26605000,0.0,0.0,7.4,,,Train / Val
2004-07-20,0.671,0.68,0.667,0.676,17180000,0.0,0.0,8.0,,,Train / Val
2004-07-21,0.685,0.698,0.676,0.68,52475000,0.0,0.0,7.4,,,Train / Val
2004-07-22,0.676,0.676,0.631,0.64,69155000,0.0,0.0,14.1,,,Train / Val
2004-07-23,0.64,0.644,0.631,0.635,23340000,0.0,0.0,15.0,,,Train / Val
2004-07-26,0.621,0.631,0.608,0.612,37195000,0.0,0.0,19.3,,,Train / Val
2004-07-27,0.608,0.671,0.608,0.671,89530000,0.0,0.0,8.8,,,Train / Val
2004-07-28,0.671,0.676,0.653,0.662,21025000,0.0,0.0,10.3,,,Train / Val
2004-07-29,0.653,0.68,0.649,0.676,17490000,0.0,0.0,8.0,,,Train / Val
2004-07-30,0.685,0.698,0.671,0.694,50325000,0.0,0.0,5.2,,,Train / Val
2004-08-02,0.694,0.698,0.667,0.698,26760000,0.0,0.0,4.6,,,Train / Val
2004-08-03,0.703,0.716,0.698,0.712,63695000,0.0,0.0,2.5,,,Train / Val
2004-08-04,0.703,0.707,0.689,0.694,14245000,0.0,0.0,5.2,,,Train / Val
2004-08-05,0.703,0.725,0.703,0.716,33925000,0.0,0.0,2.0,,,Train / Val
2004-08-06,0.707,0.73,0.707,0.721,21670000,0.0,0.0,1.2,,,Train / Val
2004-08-09,0.721,0.721,0.712,0.721,22485000,0.0,0.0,1.2,,,Train / Val
2004-08-10,0.73,0.73,0.698,0.698,21045000,0.0,0.0,1.3,,,Train / Val
2004-08-11,0.707,0.707,0.662,0.662,32825000,0.0,0.0,3.5,,,Train / Val
2004-08-12,0.662,0.676,0.653,0.676,25865000,0.0,0.0,1.3,,,Train / Val
2004-08-13,0.662,0.676,0.662,0.676,4885000,0.0,0.0,1.3,,,Train / Val
2004-08-16,0.667,0.68,0.649,0.676,13325000,0.0,0.0,1.3,,,Train / Val
2004-08-17,0.676,0.676,0.662,0.667,4467500,0.0,0.0,2.7,,,Train / Val
2004-08-18,0.676,0.676,0.667,0.667,3380000,0.0,0.0,3.3,,,Train / Val
2004-08-19,0.671,0.685,0.662,0.667,19895000,0.0,0.0,6.0,,,Train / Val
2004-08-20,0.671,0.671,0.662,0.671,17280000,0.0,0.0,5.4,,,Train / Val
2004-08-23,0.676,0.676,0.644,0.658,10750000,0.0,0.0,7.4,,,Train / Val
2004-08-24,0.658,0.658,0.64,0.649,16340000,0.0,0.0,10.3,,,Train / Val
2004-08-25,0.653,0.653,0.626,0.626,24090000,0.0,0.0,14.4,,,Train / Val
2004-08-26,0.64,0.644,0.608,0.612,42080000,0.0,0.0,17.0,,,Train / Val
2004-08-27,0.621,0.635,0.617,0.631,49480000,0.0,0.0,13.5,,,Train / Val
2004-08-30,0.631,0.64,0.626,0.626,10630000,0.0,0.0,14.4,,,Train / Val
2004-08-31,0.635,0.662,0.626,0.662,11450000,0.0,0.0,8.2,,,Train / Val
2004-09-01,0.662,0.662,0.649,0.653,10360000,0.0,0.0,9.6,,,Train / Val
2004-09-02,0.658,0.658,0.649,0.653,15245000,0.0,0.0,9.6,,,Train / Val
2004-09-03,0.658,0.658,0.644,0.644,9350000,0.0,0.0,20.3,,,Train / Val
