Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,SMA_10,Close_below_SMA_10,SMA_20,Close_below_SMA_20,SMA_50,Close_below_SMA_50,SMA_100,Close_below_SMA_100,SMA_150,Close_below_SMA_150,^HSI_Close,title_sc,supp_sc,Target_Price,BB_Price,BB_Count,Short_Ratio,Target_Price_Uplift,Avg_BB_Price,Close_over_Avg_BB,BB_Value,Close_over_BB,BB_Conf,Actual_High_Next_20_P,Predicted_High_Next_20_P,MAE_P,Type
2018-01-02,406.013,415.964,405.615,415.765,24080505,0.0,0.0,431.14979999999997,1,444.34525,1,441.16484000000014,1,424.5377199999999,1,411.4489133333333,0,30515.31,,,,,,,0.0,,0.0,,0.0,0.0,14.1,,,Train / Val
2018-01-03,421.935,424.721,416.959,420.144,22780154,0.0,0.0,431.14979999999997,1,444.34525,1,441.16484000000014,1,424.5377199999999,1,411.4489133333333,0,30560.95,,,,,,,0.0,,0.0,,0.0,0.0,12.9,,,Train / Val
2018-01-04,424.92,430.294,422.134,429.697,27904538,0.0,0.0,431.14979999999997,1,444.34525,1,441.16484000000014,1,424.5377199999999,0,411.4489133333333,0,30736.48,,,,,,,0.0,,0.0,,0.0,0.0,10.4,,,Train / Val
2018-01-05,434.275,434.275,426.114,431.09,19958447,0.0,0.0,431.14979999999997,1,444.34525,1,441.16484000000014,1,424.5377199999999,0,411.4489133333333,0,30814.64,,,,,,,0.0,,0.0,,0.0,0.0,10.0,,,Train / Val
2018-01-08,434.076,437.061,431.687,436.464,17994826,0.0,0.0,431.14979999999997,0,444.34525,1,441.16484000000014,1,424.5377199999999,0,411.4489133333333,0,30899.53,-0.0772,-0.0772,,,,,0.0,,0.0,,0.0,0.0,8.7,,,Train / Val
2018-01-09,438.852,444.226,436.862,441.638,24476517,0.0,0.0,431.14979999999997,0,444.34525,1,441.16484000000014,0,424.5377199999999,0,411.4489133333333,0,31011.41,,,,,,,0.0,,0.0,,0.0,0.0,7.4,,,Train / Val
2018-01-10,443.629,444.027,437.857,438.255,18007353,0.0,0.0,431.14979999999997,0,444.34525,1,441.16484000000014,1,424.5377199999999,0,411.4489133333333,0,31073.72,,,158.0,,,,-0.6394792985818758,,0.0,,0.0,0.0,8.2,,,Train / Val
2018-01-11,433.876,435.867,427.309,427.309,27635787,0.0,0.0,431.14979999999997,1,444.34525,1,441.16484000000014,1,424.5377199999999,0,411.4489133333333,0,31120.39,-0.3182,-0.3182,158.0,,,,-0.6302441558684699,,0.0,,0.0,0.0,11.0,,,Train / Val
2018-01-12,429.697,440.046,428.702,440.046,19198950,0.0,0.0,431.14979999999997,0,444.34525,1,441.16484000000014,1,424.5377199999999,0,411.4489133333333,0,31412.54,,,158.0,,,,-0.6409466283070406,,0.0,,0.0,0.0,7.8,,,Train / Val
2018-01-15,443.231,446.614,431.09,431.09,23394615,0.0,0.0,431.14979999999997,1,444.34525,1,441.16484000000014,1,424.5377199999999,0,411.4489133333333,0,31338.87,,,158.0,,,,-0.6334872068477579,,0.0,,0.0,0.0,10.0,,,Train / Val
2018-01-16,433.876,442.634,432.881,442.037,20592159,0.0,0.0,433.77699999999993,0,444.34525,1,441.16484000000014,0,424.5377199999999,0,411.4489133333333,0,31904.75,,,158.0,,,,-0.6425638577766115,,0.0,,0.0,0.0,7.3,,,Train / Val
2018-01-17,440.842,446.813,437.061,446.813,24879570,0.0,0.0,436.4438999999999,0,444.34525,0,441.16484000000014,0,424.5377199999999,0,411.4489133333333,0,31983.41,,,158.0,,,,-0.6463845053747317,,0.0,,0.0,0.0,6.1,,,Train / Val
2018-01-18,450.396,451.789,442.634,445.619,21795983,0.0,0.0,438.0360999999999,0,444.34525,0,441.16484000000014,0,424.5377199999999,0,411.4489133333333,0,32121.94,,,158.0,,,,-0.6454370213119279,,0.0,,0.0,0.0,6.4,,,Train / Val
2018-01-19,449.998,450.794,445.818,450.197,14749167,0.0,0.0,439.9467999999999,0,444.34525,0,441.16484000000014,0,424.5377199999999,0,411.4489133333333,0,32254.89,0.8934,0.8934,158.0,,,,-0.6490425302700817,,0.0,,0.0,0.0,5.3,,,Train / Val
2018-01-22,452.784,457.76,448.206,457.76,19364906,0.0,0.0,442.0763999999999,0,444.34525,0,441.16484000000014,0,424.5377199999999,0,411.4489133333333,0,32393.41,,,158.0,,,,-0.6548409646976582,,0.0,,0.0,0.0,3.6,,,Train / Val
2018-01-23,463.929,472.288,461.342,472.288,23871965,0.0,0.0,445.1414,0,444.34525,0,441.16484000000014,0,424.5377199999999,0,411.4489133333333,0,32930.7,,,158.0,,,,-0.6654583643878311,,0.0,,0.0,0.0,0.4,,,Train / Val
2018-01-24,471.691,472.089,464.526,466.716,24929026,0.0,0.0,447.9875,0,444.34525,0,441.16484000000014,0,424.5377199999999,0,411.4489133333333,0,32958.69,,,158.0,,,,-0.6614643594819976,,0.0,,0.0,0.0,1.6,,,Train / Val
2018-01-25,463.929,465.92,455.769,455.769,27732428,0.0,0.0,450.8335,0,444.34525,0,441.16484000000014,0,424.5377199999999,0,411.4489133333333,0,32654.45,,,158.0,,,,-0.6533331578058184,,0.0,,0.0,0.0,4.1,,,Train / Val
2018-01-26,461.939,468.905,461.74,468.905,22012532,0.0,0.0,453.71939999999995,0,444.34525,0,441.16484000000014,0,424.5377199999999,0,411.4489133333333,0,33154.12,,,158.0,,,0.09970000000000001,-0.6630447532016079,,0.0,,0.0,0.0,1.1,,,Train / Val
2018-01-29,471.492,474.279,464.128,469.303,22504576,0.0,0.0,457.5406999999999,0,444.34525,0,441.16484000000014,0,424.5377199999999,0,411.4489133333333,0,32966.89,,,158.0,,,0.1597,-0.663330513548816,,0.0,,0.0,0.0,-0.4,,,Train / Val
2018-01-30,460.944,467.313,458.954,459.551,22255680,0.0,0.0,459.29209999999995,0,446.53455,0,441.16484000000014,0,424.5377199999999,0,411.4489133333333,0,32607.29,,,158.0,,,0.1257,-0.6561861469129651,,0.0,,0.0,0.0,1.4,,,Train / Val
2018-01-31,453.381,466.119,452.983,461.342,27609235,0.0,0.0,460.7449999999999,0,448.59445000000005,0,441.16484000000014,0,424.5377199999999,0,411.4489133333333,0,32887.27,,,158.0,,,0.0901,-0.6575208847232639,,0.0,,0.0,0.0,0.7,,,Train / Val
2018-02-01,463.73,464.526,457.76,457.76,17119372,0.0,0.0,461.9590999999999,1,449.99760000000003,0,441.16484000000014,0,424.5377199999999,0,411.4489133333333,0,32642.09,,,158.0,,,0.1084,-0.6548409646976582,,0.0,,0.0,0.0,0.0,,,Train / Val
2018-02-02,456.764,457.76,448.803,450.197,24328782,0.0,0.0,461.9590999999999,1,450.95295000000004,1,441.16484000000014,0,424.5377199999999,0,411.4489133333333,0,32601.78,,,158.0,,,0.1479,-0.6490425302700817,,0.0,,0.0,0.0,1.2,,,Train / Val
2018-02-05,431.687,443.629,430.692,438.852,40391973,0.0,0.0,460.0682999999999,1,451.0723500000001,1,441.16484000000014,1,424.5377199999999,0,411.4489133333333,0,32245.22,,,158.0,,,0.0823,-0.6399697392287149,,0.0,,0.0,0.0,3.9,,,Train / Val
2018-02-06,420.94,423.328,405.217,408.003,86849711,0.0,0.0,453.6397999999999,1,449.39060000000006,1,441.16484000000014,1,424.5377199999999,1,411.4489133333333,1,30595.42,0.743,0.743,158.0,,,0.0575,-0.612747945480793,,0.0,,0.0,0.0,11.7,,,Train / Val
2018-02-07,427.906,430.692,411.188,412.78,61051730,0.0,0.0,448.2461999999999,1,448.11685000000017,1,441.16484000000014,1,424.5377199999999,1,411.4489133333333,0,30323.2,,,158.0,,,0.0555,-0.6172295169339599,,0.0,,0.0,0.0,10.4,,,Train / Val
2018-02-08,416.76,421.935,411.984,418.153,35437925,0.0,0.0,444.4845999999999,1,447.6590500000002,1,441.16484000000014,1,424.5377199999999,1,411.4489133333333,0,30451.27,,,158.0,,,0.1247,-0.622147874103498,,0.0,,0.0,0.0,9.5,,,Train / Val
2018-02-09,401.037,408.998,396.062,405.416,69156760,0.0,0.0,438.13569999999993,1,445.92755000000017,1,441.16484000000014,1,424.5377199999999,1,411.4489133333333,1,29507.42,,,158.0,,,0.0545,-0.6102768514316159,,0.0,,0.0,0.0,13.6,,,Train / Val
