Date,Currency,BB_Price,BB_Count,BB_Amount,FY_BB_Count,BB_Prop
2020-03-06,-,-,"1,000,000",-,-,0.00%
2020-03-04,-,-,"83,700",-,-,0.00%
2020-03-03,-,-,"1,000,000",-,-,0.00%
2020-03-02,-,-,"1,000,000",-,-,0.00%
2020-02-24,-,-,"1,349,800",-,-,0.00%
2020-02-21,-,-,"1,000,000",-,-,0.00%
2020-02-20,-,-,"800,000",-,-,0.00%
2020-02-18,-,-,"1,000,000",-,-,0.00%
2020-02-14,-,-,"500,000",-,-,0.00%
2020-02-05,-,-,"1,000,000",-,-,0.00%
2020-02-04,-,-,"1,000,000",-,-,0.00%
2020-02-03,-,-,"570,000",-,-,0.00%
2020-01-31,-,-,"1,450,000",-,-,0.00%
2020-01-30,-,-,"850,000",-,-,0.00%
2020-01-29,-,-,"410,000",-,-,0.00%
2020-01-21,-,-,"1,300,000",-,-,0.00%
2020-01-20,-,-,"979,000",-,-,0.00%
2020-01-17,-,-,"1,484,300",-,-,0.00%
2020-01-16,-,-,"640,900",-,-,0.00%
2020-01-15,-,-,"900,000",-,-,0.00%
2020-01-14,-,-,"1,500,000",-,-,0.00%
2020-01-13,-,-,"519,400",-,-,0.00%
2020-01-10,-,-,"83,900",-,-,0.00%
2020-01-09,-,-,"49,400",-,-,0.00%
2020-01-08,-,-,"24,400",-,-,0.00%
2020-01-07,-,-,"1,470,000",-,-,0.00%
2020-01-06,-,-,"777,700",-,-,0.00%
2020-01-03,-,-,"870,000",-,-,0.00%
2020-01-02,-,-,"1,370,000",-,-,0.00%
2019-12-31,-,-,"958,000",-,-,0.00%
2019-12-30,-,-,"249,000",-,-,0.00%
2019-12-27,-,-,"678,000",-,-,0.00%
2019-12-24,-,-,"207,000",-,-,0.00%
2019-12-23,-,-,"350,500",-,-,0.00%
2019-12-20,-,-,"300,000",-,-,0.00%
2019-12-11,-,-,"1,100,000",-,-,0.00%
2019-12-10,-,-,"890,000",-,-,0.00%
2019-12-06,-,-,"2,000,000",-,-,0.00%
2019-12-05,-,-,"3,093,500",-,-,0.00%
2019-12-04,-,-,"2,008,000",-,-,0.00%
2019-09-24,-,-,"1,000,000",-,-,0.00%
2019-09-23,-,-,"119,000",-,-,0.00%
2019-09-19,-,-,"310,000",-,-,0.00%
2019-09-18,-,-,"500,000",-,-,0.00%
2019-09-17,-,-,"560,500",-,-,0.00%
2019-09-16,-,-,"330,000",-,-,0.00%
2019-09-11,-,-,"10,000",-,-,0.00%
2019-09-10,-,-,"222,500",-,-,0.00%
2019-09-05,-,-,"1,522,000",-,-,0.00%
2019-09-04,-,-,"798,000",-,-,0.00%
2019-09-03,-,-,"1,515,000",-,-,0.00%
2019-09-02,-,-,"2,600,000",-,-,0.00%
2019-08-15,-,-,"340,500",-,-,0.00%
2019-08-14,-,-,"3,203,500",-,-,0.00%
2019-01-04,-,-,"79,000",-,-,0.00%
2019-01-03,-,-,"800,000",-,-,0.00%
2019-01-02,-,-,"820,000",-,-,0.00%
2018-12-31,-,-,"114,000",-,-,0.00%
2018-12-28,-,-,"560,000",-,-,0.00%
2018-12-27,-,-,"247,500",-,-,0.00%
2018-12-24,-,-,"45,000",-,-,0.00%
2018-08-31,-,-,"820,000",-,-,0.00%
2018-08-30,-,-,"980,500",-,-,0.00%
2018-08-29,-,-,"498,000",-,-,0.00%
2018-08-28,-,-,"800,000",-,-,0.00%
2018-08-27,-,-,"173,500",-,-,0.00%
2018-08-23,-,-,"1,570,000",-,-,0.00%
2018-08-22,-,-,"1,720,500",-,-,0.00%
2018-08-21,-,-,"2,664,000",-,-,0.00%
2018-08-20,-,-,"404,000",-,-,0.00%
2018-08-17,-,-,"1,048,500",-,-,0.00%
2018-08-16,-,-,"974,500",-,-,0.00%
2018-08-15,-,-,"1,675,000",-,-,0.00%
2018-08-14,-,-,"1,084,500",-,-,0.00%
2018-08-13,-,-,"1,196,000",-,-,0.00%
2018-08-10,-,-,"1,300,000",-,-,0.00%
2018-08-09,-,-,"1,628,000",-,-,0.00%
2018-08-07,-,-,"852,500",-,-,0.00%
2018-08-06,-,-,"1,206,500",-,-,0.00%
2018-08-03,-,-,"1,643,500",-,-,0.00%
2018-08-02,-,-,"2,115,500",-,-,0.00%
2018-08-01,-,-,"995,500",-,-,0.00%
2018-07-31,-,-,"570,000",-,-,0.00%
2018-07-30,-,-,"690,000",-,-,0.00%
2018-07-27,-,-,"905,500",-,-,0.00%
2018-07-26,-,-,"1,258,500",-,-,0.00%
2018-07-13,-,-,"1,160,000",-,-,0.00%
2018-07-12,-,-,"1,330,000",-,-,0.00%
2018-07-11,-,-,"1,330,000",-,-,0.00%
2018-07-10,-,-,"1,380,000",-,-,0.00%
2018-07-09,-,-,"2,000,000",-,-,0.00%
2018-07-06,-,-,"2,000,000",-,-,0.00%
2018-07-05,-,-,"987,500",-,-,0.00%
2018-03-23,-,-,"971,500",-,-,0.00%
2018-03-22,-,-,"1,348,000",-,-,0.00%
2018-03-21,-,-,"1,551,000",-,-,0.00%
2018-03-20,-,-,"1,854,500",-,-,0.00%
2018-03-19,-,-,"409,000",-,-,0.00%
2018-03-16,-,-,"2,000,000",-,-,0.00%
2018-03-15,-,-,"430,000",-,-,0.00%
2018-03-14,-,-,"767,500",-,-,0.00%
2018-03-13,-,-,"1,060,000",-,-,0.00%
2018-03-12,-,-,"985,000",-,-,0.00%
2018-03-09,-,-,"1,230,000",-,-,0.00%
2018-03-08,-,-,"119,000",-,-,0.00%
2018-03-07,-,-,"1,526,000",-,-,0.00%
2018-03-06,-,-,"1,160,000",-,-,0.00%
2018-03-05,-,-,"1,690,000",-,-,0.00%
2018-03-02,-,-,"2,305,000",-,-,0.00%
2018-03-01,-,-,"177,500",-,-,0.00%
2018-02-09,-,-,"1,640,000",-,-,0.00%
2018-02-08,-,-,"1,000,000",-,-,0.00%
2018-02-07,-,-,"1,500,000",-,-,0.00%
2018-02-06,-,-,"44,000",-,-,0.00%
2018-02-02,-,-,"1,300,000",-,-,0.00%
2018-02-01,-,-,"516,500",-,-,0.00%
2018-01-31,-,-,"224,000",-,-,0.00%
2018-01-30,-,-,"700,000",-,-,0.00%
2018-01-29,-,-,"1,985,500",-,-,0.00%
2018-01-26,-,-,"1,496,500",-,-,0.00%
2018-01-25,-,-,"1,655,000",-,-,0.00%
2018-01-22,-,-,"1,782,000",-,-,0.00%
2018-01-19,-,-,"1,007,000",-,-,0.00%
2018-01-18,-,-,"73,000",-,-,0.00%
2018-01-17,-,-,"1,918,500",-,-,0.00%
2018-01-16,-,-,"1,861,500",-,-,0.00%
2018-01-15,-,-,"403,000",-,-,0.00%
2017-12-18,-,-,"464,000",-,-,0.00%
2017-12-15,-,-,"2,000,000",-,-,0.00%
2017-12-14,-,-,"1,220,000",-,-,0.00%
2017-12-12,-,-,"77,000",-,-,0.00%
2017-12-08,-,-,"345,500",-,-,0.00%
2017-12-07,-,-,"930,000",-,-,0.00%
2017-12-06,-,-,"1,050,000",-,-,0.00%
2017-12-05,-,-,"900,000",-,-,0.00%
2017-12-04,-,-,"258,500",-,-,0.00%
2017-11-30,-,-,"1,950,000",-,-,0.00%
2017-09-22,-,-,"1,320,000",-,-,0.00%
2017-09-08,-,-,"19,500",-,-,0.00%
2017-08-30,-,-,"800,000",-,-,0.00%
2017-08-29,-,-,"660,000",-,-,0.00%
2017-08-25,-,-,"1,532,000",-,-,0.00%
2017-08-24,-,-,"1,244,500",-,-,0.00%
2017-08-21,-,-,"749,000",-,-,0.00%
2017-08-18,-,-,"1,396,500",-,-,0.00%
2017-08-17,-,-,"1,012,500",-,-,0.00%
2017-08-16,-,-,"950,000",-,-,0.00%
2017-08-15,-,-,"564,500",-,-,0.00%
2017-08-11,-,-,"1,700,500",-,-,0.00%
2017-08-10,-,-,"1,238,000",-,-,0.00%
2017-07-27,-,-,"153,500",-,-,0.00%
2017-01-06,-,-,"1,210,000",-,-,0.00%
2017-01-05,-,-,"1,300,000",-,-,0.00%
2016-12-23,-,-,"1,400,000",-,-,0.00%
2016-12-22,-,-,"1,300,000",-,-,0.00%
2016-12-21,-,-,"1,639,000",-,-,0.00%
2016-12-20,-,-,"1,274,500",-,-,0.00%
2016-12-19,-,-,"630,000",-,-,0.00%
2016-12-09,-,-,"1,451,000",-,-,0.00%
2016-12-08,-,-,"860,500",-,-,0.00%
2016-12-07,-,-,"2,032,500",-,-,0.00%
2016-12-06,-,-,"1,051,500",-,-,0.00%
2016-12-05,-,-,"429,000",-,-,0.00%
2016-12-02,-,-,"764,000",-,-,0.00%
2016-12-01,-,-,"1,190,500",-,-,0.00%
2016-09-19,-,-,"1,722,000",-,-,0.00%
2016-09-15,-,-,"1,673,000",-,-,0.00%
2016-09-14,-,-,"2,500,000",-,-,0.00%
2016-08-29,-,-,"835,500",-,-,0.00%
2016-08-23,-,-,"40,000",-,-,0.00%
2016-08-22,-,-,"588,000",-,-,0.00%
2016-08-18,-,-,"560,500",-,-,0.00%
2016-08-17,-,-,"766,000",-,-,0.00%
2016-08-16,-,-,"500,000",-,-,0.00%
2016-08-15,-,-,"569,000",-,-,0.00%
2016-08-10,-,-,"559,000",-,-,0.00%
2016-08-05,-,-,"219,500",-,-,0.00%
2016-08-04,-,-,"1,000,000",-,-,0.00%
2016-03-04,-,-,"700,000",-,-,0.00%
2016-03-03,-,-,"1,000,000",-,-,0.00%
2016-03-02,-,-,"1,000,000",-,-,0.00%
2016-02-29,-,-,"750,500",-,-,0.00%
2016-02-25,-,-,"750,000",-,-,0.00%
2015-12-18,-,-,"550,000",-,-,0.00%
2015-12-17,-,-,"556,500",-,-,0.00%
2015-12-16,-,-,"619,000",-,-,0.00%
2015-12-15,-,-,"475,000",-,-,0.00%
2015-12-14,-,-,"261,000",-,-,0.00%
2015-12-11,-,-,"298,000",-,-,0.00%
