Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,SMA_10,Close_below_SMA_10,SMA_20,Close_below_SMA_20,SMA_50,Close_below_SMA_50,SMA_100,Close_below_SMA_100,SMA_150,Close_below_SMA_150,^HSI_Close,title_sc,Actual_High_Next_20_P,Predicted_High_Next_20_P,MAE_P,Type
2016-01-04,39.713,40.015,38.936,39.411,5833403,0.0,0.0,38.741499999999995,0,38.26024999999999,0,37.952560000000005,0,39.190560000000005,0,41.763460000000016,1,21327.12,0.296,0.5,,,Train / Val
2016-01-05,39.109,39.411,38.806,38.936,2725281,0.0,0.0,38.741499999999995,0,38.26024999999999,0,37.952560000000005,0,39.190560000000005,1,41.763460000000016,1,21188.72,,1.8,,,Train / Val
2016-01-06,39.368,39.454,39.022,39.065,2926520,0.0,0.0,38.741499999999995,0,38.26024999999999,0,37.952560000000005,0,39.190560000000005,1,41.763460000000016,1,20980.81,,1.4,,,Train / Val
2016-01-07,38.806,39.195,38.72,38.763,4495652,0.0,0.0,38.741499999999995,0,38.26024999999999,0,37.952560000000005,0,39.190560000000005,1,41.763460000000016,1,20333.34,,2.2,,,Train / Val
2016-01-08,39.497,39.627,38.418,38.504,5097188,0.0,0.0,38.741499999999995,1,38.26024999999999,0,37.952560000000005,0,39.190560000000005,1,41.763460000000016,1,20453.71,,2.2,,,Train / Val
2016-01-11,38.504,38.504,37.727,38.029,6846738,0.0,0.0,38.741499999999995,1,38.26024999999999,1,37.952560000000005,0,39.190560000000005,1,41.763460000000016,1,19888.5,,3.5,,,Train / Val
2016-01-12,38.375,39.065,37.9,38.202,6464101,0.0,0.0,38.741499999999995,1,38.26024999999999,1,37.952560000000005,0,39.190560000000005,1,41.763460000000016,1,19711.76,,3.1,,,Train / Val
2016-01-13,38.763,39.368,38.332,39.065,5750101,0.0,0.0,38.741499999999995,0,38.26024999999999,0,37.952560000000005,0,39.190560000000005,1,41.763460000000016,1,19934.88,,-0.1,,,Train / Val
2016-01-14,38.763,38.893,38.547,38.72,4651054,0.0,0.0,38.741499999999995,1,38.26024999999999,0,37.952560000000005,0,39.190560000000005,1,41.763460000000016,1,19817.41,,0.8,,,Train / Val
2016-01-15,39.022,39.022,38.504,38.72,6978369,0.0,0.0,38.741499999999995,1,38.26024999999999,0,37.952560000000005,0,39.190560000000005,1,41.763460000000016,1,19520.77,,0.4,,,Train / Val
